id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,region
AJ1gAYce9iqWNQ5_b0PL5mmpO8EV90Vd0KYsJ0eWv8045fI,WKRXsyYkM8UXtB8GP75AXwg7vh_crMkR5yw_4_lORiXyTro,vppnv234O52ZFCkp2_50n-pGvT9inJDU9OTX4RU24Tly1_0-UV1YlbD9rUSXTspxJyZXzq4sEBngzA,Doran,1594,1667737008000,112,KR
56k4GWffWXDIhQzyz3gkX7dlSdByBlT1b3rgIukusghwTRiRtKVs0Q4gHw,wdlgswzjQEerh_U6AOzbbyEZMvGqlAhE5l8oIFG45Eihfy9bWGUvei56,JUpQK5KLaOUgPg9GsG_VEweESM1tRsQiZTqW_cXF1XaOdZ6i9g1zn_kSbocilHMnvIOXqjQyOFA-5g,Peanut,29,1666788035000,2,KR
6f1mr-W8BAKE5seIyXZ5xASxIb-4XWW7AmTN-uFUuBjrBQ,WxzoACk_ZVSunRDHzgClYIlGJkPwG7rGDNxU0blUO4pO,LQVB0OnFYoF3MqctpJwwXmvym-YkIoSNYL-Z6p58P1_ndNQ4S-a9EKM_7d4FbUjF_mVwPwugHP-jUw,Chovy,4495,1667574942000,289,KR
5EoQ8Vef5XsxMV6odyGZzm8zkMuQdVIbD4qfnunsqacpALTmERLJsBbvKQ,I-2CkoAmkWBAhrVUPNj3rtc0qpBYU28eL_b9dGSLZfR4AuUYdYeLHDk_,DIlfvQQhxxqwTY2NkQOCo6EpKKiVZYmc3hoBWuZA45vp4SsbKAltZTXvuJj7H8E_mJ2yNzSsTWo4mA,Ruler,5508,1667733383000,42,KR
oBzjJ7qMuxzvlQbOltMnPR4MQAzRlg4M-rBbSDlQMAMPJK0,HZ56jW4tRfS3Lpo2MdsYl3M5ogU267HgCrN_qcKWYCYCMgw,hAeJKoaS4mVK55WPR4h695KaUvaP5cuXzBx9g1QsHIA2Sh5W24BmmJ0SyVzeMPJiMPDqPHjA-3a8vA,Lehends,4295,1667914925000,528,KR
sQCpzsBejO8p6kHKZtTTwK6abi4YNkGh0dP1uOdOFvQtOHkRBQG_zXeKXQ,gPoN9Jb96J8l3AwpPg5NBw5JmWxs27I_KCXzMuyWEcNTmABUDY1kHcqz,VjrOut2f_VrW3gGoFkBbF7GQTzR6TBPELLgwRx5GVBr89hazrHiS_NYA3ToJizfyZvx71BiEulAgdw,YoungJae,4541,1663538915000,22,KR
nMkVf7Q5hH2NftXJchpUjoVV7RkcmqfwwftpGiB5MJPAfSDqd0LPtwsFBQ,B0OxXM0y7LwNNcOwG3sD8SQEIn_9I-FYt9l49bLWi7tS5XIEvfddbigb,hIkb039GYbRSirn1FHY2pHF6cyPyF8qMHqjIYdmBl574DI7T6-jD-c6t62ju3XLJXD7Gni1HHYa6jA,ZEUS,29,1632624817000,1,KR
UXzR3UEJfcC2wByHLHB9uLE-CM85tVp17grFdUHBtpZEUAFZMtgkIhLTmA,ghIUBFoC8iu_NZFU3Y7DEsbTZwICqE8DAbLYdTu5F5Ct8y-i0xlPCq-R,xGUyymDlVHOUl94BLGZxV0XBh-Mc4K3osxZeGxMtL79RVDsRLH4Id-g38pRtmSbXsESFwInrJwLV_g,Oner,29,1664596704000,1,KR
S4WKFqXLNs6nGQwPNOxNHqoojM3HU1zX8oUZI65EestZlWns-pIgJjHj-A,2YOJmOEB1XRKZU6tve1r0WnBHIkpscV8BRJZLEA0o1aHeEq44ZZcZG9G,AA8Z2e1vEVWceln6rkZAbrywBxadlziAevTB8whmVVKABWV__XVaowbpUz-bB3C1RV6IBrWB7_OTHw,Faker,6,1667844330503,22,KR
gUfovdBz135xt3T71Cir3ppKuo9W5d0NU80cbRa6gEmMegE,EEzyjycHdHC2bHoi67WtwA0NJKV29Y1UlY55Rz5gd5y226p2FnmlRzv3,1O_rsohKXpIGbomwH66_LL_QjKhErK9gyn8fTa1kRlAysiw-FsThSUauE--XeObFkBTkMjsrRukhpw,Gumayusi,5098,1665794640000,80,KR
