id,win,assists,basicPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,deaths,detectorWardsPlaced,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorsLost,inhibitorTakedowns,itemsPurchased,killingSprees,kills,largestKillingSpree,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,summonerLevel,timeCCingOthers,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced
EUW15976044585,0,160,25.0,20,5732.0,5732,77,0,103520,96240,InvalidInvalidInvalidInvalidInvalid,3,15.0,5.0,115,18,68,16,1260,204515,91671,134089,0,455912,141678,103651,999,229,700726,261039,0,254751,16937,987,392,1270,2426,40295,27686,17007,3,20.0,0,0,0,0
EUW15976044585,1,163,78.0,15,7722.0,7722,68,0,108144,97610,InvalidInvalidInvalidInvalidInvalid,3,15.0,9.0,103,20,77,17,1736,484185,134090,91670,0,308122,89793,161341,360,208,812689,240893,0,292864,56879,8114,428,2910,2145,20378,17008,39847,4,15.0,0,0,0,0
EUW15977434361,0,114,8.0,6,4093.0,4093,71,0,76747,73650,InvalidInvalidInvalidInvalidInvalid,0,10.0,0.0,109,13,55,11,726,188727,64148,117530,0,179214,72783,71838,1053,78,387989,148820,4364,213613,51158,0,256,463,1788,20041,11883,24237,2,20.0,0,0,0,0
EUW15977434361,1,164,12.0,7,8528.0,8528,55,0,77909,72020,InvalidInvalidInvalidInvalidInvalid,2,0.0,4.0,110,19,71,21,854,215137,117529,64148,0,151475,57618,82398,2395,141,412912,198811,0,158435,24847,0,252,613,1524,46294,23658,11885,4,10.0,0,0,0,0
EUW15977446943,0,45,6.0,4,0.0,0,52,0,48565,45225,InvalidInvalidInvalidInvalidInvalid,0,10.0,0.0,70,7,26,8,748,113066,44332,76601,0,64067,17422,37129,1357,123,194409,65319,0,119370,17583,2064,160,954,1096,17271,3561,5637,0,20.0,0,0,0,0
EUW15977446943,1,119,3.0,6,8362.0,8362,26,0,60687,45525,InvalidInvalidInvalidInvalidInvalid,2,0.0,7.0,63,12,52,20,984,148808,76601,44332,0,80756,31790,26945,1222,155,237506,114032,6614,74841,19577,4755,168,738,537,7939,5639,3560,4,0.0,0,0,0,0
EUW15977448799,0,68,5.0,2,5098.0,5098,41,0,63647,61625,InvalidInvalidInvalidInvalidInvalid,0,5.0,0.0,85,8,30,11,1406,125832,48039,56197,0,113209,37510,51944,691,82,246484,92400,3297,116540,19153,0,199,356,966,7441,6846,8394,2,20.0,0,0,0,0
EUW15977448799,1,126,7.0,1,8122.0,8122,30,0,64989,47985,InvalidInvalidInvalidInvalidInvalid,1,0.0,5.0,57,8,41,15,1414,112426,56197,48038,0,143609,42554,41146,1594,205,267912,107023,3172,96035,22735,14898,225,993,736,11873,8268,6844,4,10.0,0,0,0,0
EUW15979489091,0,92,10.0,14,4889.0,4889,47,0,66061,61700,InvalidInvalidInvalidInvalidInvalid,0,5.0,0.0,85,8,33,13,1161,250697,90627,44715,0,62877,20838,65218,1155,164,321413,118031,5740,114951,10426,0,242,1745,1256,7833,6560,5012,2,20.0,0,0,0,0
EUW15979489091,1,132,16.0,7,10209.0,10209,35,0,72220,61925,InvalidInvalidInvalidInvalidInvalid,1,0.0,2.0,78,12,47,18,2020,112743,44716,90628,0,171956,57541,36201,330,216,290747,107274,8775,133393,49110,6470,238,904,852,6043,5013,6560,4,10.0,0,0,0,0
EUW15979554983,0,117,29.0,9,8380.0,8380,60,0,72617,71405,InvalidInvalidInvalidInvalidInvalid,2,5.0,9.0,107,10,47,9,898,106865,58784,63396,0,219345,74621,109143,318,124,350734,152878,10927,197429,51624,15615,234,516,1496,24519,19469,24884,4,20.0,0,0,0,0
EUW15979554983,1,159,26.0,11,9726.0,9726,52,0,78576,68850,InvalidInvalidInvalidInvalidInvalid,1,10.0,5.0,99,16,60,17,1291,169610,63397,58785,0,201790,83848,91879,326,127,394191,166977,11727,170529,49275,13008,225,1015,1350,22788,19727,19860,4,20.0,0,0,0,0
EUW15982913753,0,50,33.0,7,8593.0,15392,34,3,73710,72775,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,5.0,0.0,109,7,31,17,3171,343746,77433,92458,108,266371,77694,86526,1865,239,642949,163621,13069,188860,65333,12021,488,3031,1145,32828,8489,9872,3,45.0,86,3,10,38
EUW15982913753,1,36,89.0,13,17213.0,62556,31,6,79508,73150,TOPJUNGLEMIDDLEBOTTOMJUNGLE,1,0.0,2.0,113,13,34,12,2334,355275,90698,78630,183,375461,64066,112666,1282,201,778216,163950,0,202385,60137,0,494,1669,1124,47474,9179,11085,9,15.0,126,8,9,47
EUW15982928682,0,27,27.0,10,2959.0,30846,52,1,76542,73425,TOPJUNGLEBOTTOMMIDDLEUTILITY,0,5.0,0.0,118,9,39,11,1610,196913,43015,104317,116,380394,56438,56711,1972,101,649802,119386,0,177627,25318,0,461,841,1824,72491,19928,16594,2,45.0,57,1,1,40
EUW15982928682,1,38,26.0,12,18751.0,56980,39,0,84889,88600,TOPJUNGLEMIDDLEBOTTOMUTILITY,1,0.0,2.0,110,14,52,18,1934,458788,103357,44957,169,161262,39404,86731,1185,87,697585,159359,0,154015,34584,306,427,899,1474,77528,16594,22321,8,10.0,107,0,8,60
EUW15982998121,0,30,34.0,5,6963.0,11592,44,2,58213,54525,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,5.0,0.0,97,5,27,6,1389,133859,41695,89942,59,217702,39392,35047,1718,105,375298,81451,0,130379,25271,0,378,702,1183,23735,361,5386,2,35.0,49,3,4,24
EUW15982998121,1,50,48.0,9,8897.0,59413,28,4,69869,62350,UTILITYJUNGLEMIDDLEBOTTOMTOP,1,0.0,1.0,91,11,44,19,2149,403951,89741,43201,131,64076,11616,69164,1321,173,491264,105966,2464,112729,33259,3192,403,1556,859,23232,4604,362,5,10.0,59,4,3,28
EUW15983057273,0,55,81.0,25,7077.0,53166,59,8,102000,93993,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,20.0,0.0,131,9,47,11,2234,338594,87230,103446,164,578248,94770,99218,1537,183,981472,217426,7424,231661,31534,0,616,1698,2335,64626,35420,28993,4,50.0,150,9,17,65
EUW15983057273,1,101,39.0,15,12618.0,71660,47,0,105821,106730,TOPJUNGLEMIDDLEBOTTOMUTILITY,4,0.0,9.0,134,14,59,17,2914,407336,101124,89599,219,479082,80466,135798,1402,161,970851,209797,1662,265376,71507,0,524,1866,2101,84430,28202,39974,7,20.0,124,0,6,59
EUW15983103488,0,10,13.0,4,679.0,7935,37,0,36140,33718,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,5.0,0.0,71,1,13,2,1068,46242,11607,10890,44,127739,23547,51046,1289,131,182313,36349,434,65019,8352,928,239,555,952,8327,1192,3079,0,30.0,40,0,1,27
EUW15983103488,1,40,51.0,10,9970.0,24637,13,3,49365,44125,MIDDLEJUNGLETOPBOTTOMUTILITY,1,0.0,3.0,71,7,37,22,1983,43348,10238,12167,83,186664,38999,33645,1266,41,253473,52320,1033,47007,10708,348,263,433,314,23457,3078,1190,6,0.0,38,3,3,15
EUW15983158315,0,15,11.0,10,0.0,0,35,4,33958,30033,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,0.0,0.0,75,1,9,3,1087,61602,13902,30540,52,82804,15825,31089,1985,46,158228,31511,825,65922,8361,2433,164,240,793,13819,1781,4286,0,25.0,25,5,0,18
EUW15983158315,1,41,34.0,7,10502.0,31532,10,0,48368,41000,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,0.0,0.0,68,9,35,23,2563,123162,29493,15117,93,123791,22755,30684,1361,45,270270,56541,0,47586,13503,0,232,667,253,23313,4287,1779,4,0.0,29,0,2,17
EUW15983231808,0,31,30.0,9,4469.0,10018,53,1,65141,60635,TOPJUNGLEMIDDLEBOTTOMUTILITY,0,5.0,0.0,103,8,37,9,1418,46954,18264,56314,122,334464,77515,74042,1194,94,396154,103574,76,145399,23756,156,313,859,1659,14732,7788,15036,2,30.0,79,1,4,45
